Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,total_onboard,serious_fatal_fraction,Destroyed,Make_Model
20080312X00299,Accident,MIA08CA037,2008-01-06,"Ellsworth, ME",United States,Non-Fatal,Substantial,Airplane,Cessna,170A,No,1,Reciprocating,091,Personal,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,0.0,0,Cessna 170A
20080111X00039,Incident,DCA08WA025,2008-01-07,"Bangkok, Thailand",Thailand,Non-Fatal,Minor,Airplane,Boeing,747-400,No,Unknown,Unknown,NUSC,Unknown,0.0,0.0,0.0,334.0,Unknown,Unknown,334.0,0.0,0,Boeing 747-400
20080220X00212,Accident,LAX08CA044,2008-01-07,"Exeter, CA",United States,Non-Fatal,Substantial,Airplane,Bellanca,7GCBC,No,1,Reciprocating,091,Personal,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,0.0,0,Bellanca 7GCBC
20080219X00203,Accident,NYC08CA079,2008-01-10,"Sarasota, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,150G,No,1,Reciprocating,091,Personal,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,0.0,0,Cessna 150G
20080118X00079,Accident,DCA08WA027,2008-01-11,"Windhoek, Namibia",Namibia,Fatal,Destroyed,Airplane,Cessna,210M,No,Unknown,Unknown,NUSC,Unknown,6.0,0.0,0.0,0.0,VMC,Unknown,6.0,1.0,1,Cessna 210M
20080219X00204,Accident,NYC08CA080,2008-01-11,"Labelle, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,C-152,No,1,Reciprocating,091,Instructional,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,0.0,0,Cessna C-152
20080115X00052,Accident,DEN08LA049,2008-01-12,"Pine Bluffs, WY",United States,Non-Fatal,Substantial,Airplane,Cessna,172M,No,1,Reciprocating,091,Personal,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,0.0,0,Cessna 172M
20080116X00062,Accident,CHI08FA061,2008-01-12,"Port Clinton, OH",United States,Fatal,Substantial,Airplane,Cessna,340,No,2,Reciprocating,091,Personal,4.0,0.0,0.0,0.0,VMC,Unknown,4.0,1.0,0,Cessna 340
20080123X00090,Accident,MIA08FA038,2008-01-12,"Clearwater, FL",United States,Fatal,Substantial,Airplane,Cessna,172L,No,1,Reciprocating,091,Personal,3.0,0.0,0.0,0.0,VMC,Unknown,3.0,1.0,0,Cessna 172L
20080125X00104,Accident,NYC08WA082,2008-01-12,"Treviso, Italy",Italy,Fatal,Substantial,Airplane,Piper,PA-28-181,No,Unknown,Unknown,NUSN,Personal,2.0,0.0,0.0,0.0,Unknown,Unknown,2.0,1.0,0,Piper PA-28-181
